code,name,centroid_lat,centroid_lng
011,Eringate-Centennial-West Deane,43.659193,-79.582605
010,Princess-Rosethorn,43.65777,-79.539751
009,Edenbridge-Humber Valley,43.667157,-79.516794
008,Humber Heights-Westmount,43.692606,-79.518597
007,Willowridge-Martingrove-Richview,43.683576,-79.557758
006,Kingsview Village-The Westway,43.701339,-79.547451
005,Elms-Old Rexdale,43.723436,-79.547043
004,Rexdale-Kipling,43.725807,-79.565711
003,Thistletown-Beaumond Heights,43.737819,-79.558387
002,Mount Olive-Silverstone-Jamestown,43.748527,-79.582158
001,West Humber-Clairville,43.706884,-79.590052
024,Black Creek,43.765845,-79.513874
023,Pelmo Park-Humberlea,43.716512,-79.531671
022,Humbermede,43.741635,-79.5523
021,Humber Summit,43.756609,-79.570178
