_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
163744,17 108987 BLD,00,Building Additions/Alterations,Stadium,Garage Repair/Reconstruction,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2017-01-25,2017-01-30,,Inspection,Localized concrete repairs and waterproofing replacement around portions of existing stadium.  Rogers Centre.,Stadium,Same,,,"500,000",0,0,0,0,0,0,0,0,
164534,16 253940 BLD,01,Building Additions/Alterations,Restaurant 30 Seats or Less ,Interior Alterations,500,BLOOR,ST,W,M5S,14115433,S1126,2017-05-24,2017-06-29,,Revision Issued,"Revision for installation of sructural reinforcement ot existing roof top allow for installation of HVAC unit to serve ""A&W Restaurant"" in base permit. ",,Restaurant,0,0,0,0,0,0,0,0,0,0,0,
164682,25 124561 BLD,01,Building Additions/Alterations,Arena,Multiple Projects,40,BAY,ST, ,M5J,7929257,S1037,2025-07-30,2025-09-18,,Revision Issued,"Revision:- Removal of certain L200 scope areas (North Lobby 2453, West Lobby 2344, Global Partnership Lounge 2458) from this phase of construction (now indicated as out of scope with gray shading and clouded on L200 Plans)- Coordination with Ice Plant design, including relocation of drains, heaters, emergency eyewash/shower, and emergency alarm beacon in Ice Plant Refrigeration Room, as well as rooftop equipment platform alterations and access stairs- Addition of roof access ladders and fall protection - Indication on Architectural drawings of small louvers previously shown only on HVAC drawings- Modifications to kitchen exhaust routing due to site conditions- Fire alarm devices updated on electrical drawings due to site conditions",Arena,Arena,0,0,0,0,0,0,0,0,0,0,0,
166099,09 123772 HVA,00,Mechanical(MS),Arena,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2009-04-06,2009-04-29,,Permit Issued,"HVAC - Interior alterations to existing food kiosks in Rogers Centre on Level 100 (Units 115, 119, 120, 123, 125, & 127).",Arena (Rogers Centre),Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
169006,12 136606 HVA,00,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2012-03-14,2012-04-11,,Permit Issued,"HVAC - Proposal for interior alterations to suite 469, level 4 - Roger's Centre.",Rogers Centre,Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
170483,16 253940 HVA,01,Mechanical(MS),Restaurant 30 Seats or Less ,Building Permit Related(MS),500,BLOOR,ST,W,M5S,14115433,S1126,2017-07-20,2017-07-31,,Revision Issued,"Revision 01: Revision to permit for additional basement work required after site investigation. new partitions, waterproofing and mould remediation.HVAC - Proposal to conduct interior alterations for ""A&W Restaurant""",,Restaurant,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
170813,25 145215 TPS,00,Temporary Structures,Other,Temporary Structures,40,BAY,ST, ,M5J,7929257,S1037,2025-04-15,2025-04-24,,Permit Issued,"Proposal to install temporary container for MolsonCoors Playoffs at the Maple Leaf Square for the duration of the playoffs. April 16,2025 to end of playoffs.",Arena/Parking Lot,Arena/Parking Lot,,,,0,0,0,0,0,0,0,0,
171741,17 244262 PSA,01,Plumbing(PS),Stadium,Piping: Other Buildings,1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2018-10-23,2018-11-29,,Revision Issued,Revision to removal and replacement of exisitn drain bodies and piping.  Phase 8Removal and replacement of existing drain bodies and piping within the Phase 8 limit of construction area.New permit application under Parent Permit No.16 252422 PSA 00 PS,Stadium,Same,,,0,0,0,0,0,0,0,0,0,
171922,22 198612 HVA,01,Mechanical(MS),Stadium,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2023-01-17,2023-03-03,,Revision Issued,"REVISION - define ventless hood equipmentHVAC - Phase 2 -  ROGERS CENTRE LOWER BOWL REPLACEMENT PROJECT, INCLUDING RENOVATION OF EXISTING L000, L100, L200, AND L500 PROGRAMS, REPLACEMENT OF LOWER SEATING BOWL, AND ADDITION OF NEW L000 CLUBHOUSE AND PREMIUM CLUB AMENITIES.",Stadium,Stadium,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
174434,07 189633 HVA,00,Mechanical(MS),Arena,Building Permit Related(MS),1,BLUE JAYS,WAY, ,M5V,5866193,S1036,2007-05-03,2007-05-07,,Permit Issued,HVAC - Interior alterations players dressing room (field level).,Rogers Centre,Same,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,
174759,26 134384 BLD,00,Building Additions/Alterations,Arena,Interior Alterations,40,BAY,ST, ,M5J,7929257,S1037,2026-03-25,2026-04-27,,Permit Issued,"Proposed renovation to L100 public galleria; L200 sher club balcony and escalator landing; L600 east suites, corridor, elevator lobby and washrooms",Arena,Arena,0,0,40000000,0,0,0,0,0,0,2080,0,
