lat,lng,severity,acclass,year
43.652609,-79.378056,3,Fatal Injury,2019
43.681639,-79.425679,3,Fatal Injury,2019
43.681639,-79.425679,3,Fatal Injury,2019
43.649541,-79.382092,3,Fatal Injury,2018
43.649541,-79.382092,3,Fatal Injury,2018
43.658186,-79.398159,3,Fatal Injury,2018
43.658186,-79.398159,3,Fatal Injury,2018
43.684389,-79.383663,3,Fatal Injury,2018
43.684389,-79.383663,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.630514,-79.427159,3,Fatal Injury,2018
43.667444,-79.3998,3,Fatal Injury,2018
43.667444,-79.3998,3,Fatal Injury,2018
43.663324,-79.369694,3,Fatal Injury,2018
43.663324,-79.369694,3,Fatal Injury,2018
43.658514,-79.350941,3,Fatal Injury,2018
43.658514,-79.350941,3,Fatal Injury,2018
43.658514,-79.350941,3,Fatal Injury,2018
43.663293,-79.426228,3,Fatal Injury,2018
43.663293,-79.426228,3,Fatal Injury,2018
43.67512,-79.394154,3,Fatal Injury,2018
43.67512,-79.394154,3,Fatal Injury,2018
43.67512,-79.394154,3,Fatal Injury,2018
43.648973,-79.36726,3,Fatal Injury,2017
43.648973,-79.36726,3,Fatal Injury,2017
43.637956,-79.395634,3,Fatal Injury,2017
43.637956,-79.395634,3,Fatal Injury,2017
43.64982,-79.380772,3,Fatal Injury,2017
43.64982,-79.380772,3,Fatal Injury,2017
43.667635,-79.378895,3,Fatal Injury,2017
43.667635,-79.378895,3,Fatal Injury,2017
43.651315,-79.397404,3,Fatal Injury,2017
43.651315,-79.397404,3,Fatal Injury,2017
43.680994,-79.368061,3,Fatal Injury,2017
43.680994,-79.368061,3,Fatal Injury,2017
43.680994,-79.368061,3,Fatal Injury,2017
43.65822,-79.370991,3,Fatal Injury,2017
43.65822,-79.370991,3,Fatal Injury,2017
43.65822,-79.370991,3,Fatal Injury,2017
43.65835,-79.370533,3,Fatal Injury,2017
43.65835,-79.370533,3,Fatal Injury,2017
43.6495,-79.428959,3,Fatal Injury,2017
43.6495,-79.428959,3,Fatal Injury,2017
43.682851,-79.357182,3,Fatal Injury,2017
43.682851,-79.357182,3,Fatal Injury,2017
43.67996,-79.389859,3,Fatal Injury,2017
43.67996,-79.389859,3,Fatal Injury,2017
43.648542,-79.373822,3,Fatal Injury,2017
43.648542,-79.373822,3,Fatal Injury,2017
43.654325,-79.422665,3,Fatal Injury,2017
43.654325,-79.422665,3,Fatal Injury,2017
43.653719,-79.373242,3,Fatal Injury,2016
43.653719,-79.373242,3,Fatal Injury,2016
43.651472,-79.367009,3,Fatal Injury,2016
43.651472,-79.367009,3,Fatal Injury,2016
43.640691,-79.392285,3,Fatal Injury,2016
43.640691,-79.392285,3,Fatal Injury,2016
43.640691,-79.392285,3,Fatal Injury,2016
43.645872,-79.36343,3,Fatal Injury,2016
43.645872,-79.36343,3,Fatal Injury,2016
43.671198,-79.423725,3,Fatal Injury,2016
43.671198,-79.423725,3,Fatal Injury,2016
43.671198,-79.423725,3,Fatal Injury,2016
43.656931,-79.364994,3,Fatal Injury,2016
43.656931,-79.364994,3,Fatal Injury,2016
43.642065,-79.377453,3,Fatal Injury,2016
43.642065,-79.377453,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.680723,-79.382405,3,Fatal Injury,2016
43.681226,-79.427662,3,Fatal Injury,2016
43.681226,-79.427662,3,Fatal Injury,2016
43.681226,-79.427662,3,Fatal Injury,2016
43.641405,-79.349179,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.656095,-79.409489,3,Fatal Injury,2016
43.657777,-79.373677,3,Fatal Injury,2016
43.657777,-79.373677,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.671934,-79.370655,3,Fatal Injury,2016
43.669096,-79.352986,3,Fatal Injury,2015
43.657739,-79.3708,3,Fatal Injury,2015
43.657739,-79.3708,3,Fatal Injury,2015
43.681032,-79.42886,3,Fatal Injury,2015
43.681032,-79.42886,3,Fatal Injury,2015
43.637426,-79.412121,3,Fatal Injury,2015
43.665819,-79.352764,3,Fatal Injury,2015
43.665819,-79.352764,3,Fatal Injury,2015
43.664442,-79.342381,3,Fatal Injury,2015
