location,lat,lng,mode,boardings
UNION,43.6452,-79.3806,subway,128655
KING,43.6489,-79.3777,subway,60495
QUEEN,43.6526,-79.3793,subway,48701
ST ANDREW,43.6479,-79.3849,subway,57477
ST PATRICK,43.6549,-79.3884,subway,34056
OSGOODE,43.6505,-79.3866,subway,23669
