lat,lng,severity,year
43.648903,-79.405995,2,2021
43.658171,-79.37239,2,2021
43.671457,-79.376517,2,2021
43.668197,-79.388869,2,2021
43.654319,-79.383204,2,2021
43.652265,-79.395719,2,2021
43.667676,-79.367323,2,2021
43.66584,-79.384954,2,2021
43.681052,-79.41748,2,2021
43.655896,-79.371444,2,2021
43.653089,-79.402909,2,2021
43.671889,-79.371458,2,2021
43.668349,-79.382056,2,2021
43.66319,-79.373062,2,2021
43.644776,-79.385021,2,2021
43.665057,-79.368299,2,2021
43.654952,-79.415609,2,2021
43.648326,-79.398419,2,2021
43.637905,-79.39606,2,2021
43.666285,-79.378347,2,2021
43.654078,-79.362739,2,2021
43.640992,-79.417244,2,2021
43.642113,-79.341221,2,2021
43.648992,-79.355931,2,2021
43.657097,-79.35776,2,2021
43.640415,-79.388923,2,2021
43.662778,-79.42206,2,2021
43.654122,-79.42396,2,2021
43.656102,-79.399316,2,2021
43.653425,-79.427241,2,2021
43.655909,-79.380087,2,2021
43.667391,-79.365201,2,2021
43.644726,-79.416303,2,2021
43.64397,-79.388718,2,2021
43.65715,-79.38512,2,2021
43.6587,-79.395903,2,2021
43.657383,-79.4032,2,2021
43.648669,-79.367128,2,2021
43.643341,-79.412454,2,2021
43.645205,-79.413977,2,2021
43.660713,-79.372034,2,2021
43.668894,-79.379452,2,2021
43.666285,-79.378347,2,2021
43.62661,-79.359126,2,2021
43.666512,-79.371742,2,2021
43.648068,-79.399677,2,2021
43.647613,-79.402002,2,2021
43.656092,-79.402685,2,2021
43.635338,-79.418657,2,2021
43.663707,-79.359245,2,2021
43.683932,-79.356949,2,2021
43.66584,-79.384954,2,2021
43.667439,-79.347373,2,2021
43.65297,-79.382641,2,2021
43.655768,-79.394663,2,2021
43.652029,-79.402266,2,2021
43.65226,-79.397792,2,2021
43.637594,-79.424139,2,2021
43.683951,-79.423897,2,2021
43.660288,-79.343591,2,2021
43.637594,-79.424139,2,2021
43.644443,-79.39314,2,2021
43.684455,-79.421442,2,2021
43.667295,-79.373778,2,2021
43.637441,-79.402682,2,2021
43.673273,-79.400732,2,2021
43.654078,-79.362739,2,2021
43.664743,-79.385453,2,2021
43.644423,-79.394625,2,2021
43.667996,-79.385856,2,2021
43.665723,-79.380959,2,2021
43.654319,-79.383204,2,2021
43.661522,-79.344087,2,2021
43.647637,-79.371503,2,2021
43.649825,-79.418288,2,2021
43.659225,-79.381458,2,2021
43.680177,-79.374153,2,2021
43.648903,-79.405995,2,2021
43.675358,-79.404789,2,2021
43.675496,-79.428432,2,2021
43.668894,-79.379452,2,2021
43.662416,-79.358688,2,2021
43.656501,-79.377148,2,2021
43.65297,-79.382641,2,2021
43.65226,-79.397792,2,2021
43.652412,-79.390667,2,2021
43.660439,-79.3759,2,2021
43.651498,-79.390288,2,2021
43.651761,-79.382425,2,2021
43.657062,-79.364475,2,2021
43.640502,-79.383284,2,2021
43.672037,-79.383579,2,2021
43.661436,-79.428205,2,2021
43.65244,-79.379259,2,2021
43.637654,-79.391889,2,2021
43.687619,-79.423659,2,2021
43.654063,-79.379974,2,2021
43.644847,-79.362031,2,2021
43.663537,-79.366068,2,2021
43.668349,-79.382056,2,2021
43.653606,-79.403108,2,2021
43.656306,-79.398343,2,2021
43.64042,-79.428834,2,2021
43.671611,-79.380566,2,2021
43.666064,-79.385052,2,2021
43.677417,-79.408131,2,2021
43.656821,-79.375666,2,2021
43.654078,-79.362739,2,2021
43.639175,-79.411424,2,2021
43.67315,-79.414391,2,2021
43.654503,-79.390379,2,2021
43.648903,-79.405995,2,2021
43.652124,-79.364413,2,2021
43.674369,-79.36737,2,2021
43.686936,-79.399869,2,2021
43.653958,-79.372078,2,2021
43.64609,-79.419527,2,2021
43.640303,-79.398375,2,2021
43.667832,-79.398365,2,2021
43.668389,-79.402021,2,2021
43.661153,-79.340924,2,2021
43.655774,-79.380675,2,2021
43.660681,-79.374735,2,2021
43.669147,-79.378119,2,2021
43.648992,-79.355931,2,2021
43.648026,-79.404328,2,2021
43.67201,-79.370697,2,2021
43.644062,-79.37577,2,2021
43.638454,-79.392226,2,2021
43.653804,-79.411953,2,2021
43.663473,-79.41887,2,2021
43.671915,-79.379068,2,2021
43.649815,-79.400371,2,2021
43.658295,-79.371032,2,2021
43.661566,-79.368345,2,2021
43.652916,-79.429677,2,2021
43.645749,-79.41126,2,2021
43.670793,-79.376247,2,2021
43.652412,-79.390667,2,2021
43.65958,-79.367538,2,2021
43.674882,-79.388697,2,2021
43.651806,-79.375204,2,2021
43.642208,-79.428644,2,2021
43.647357,-79.411386,2,2021
43.65011,-79.363544,2,2021
43.635237,-79.399203,2,2021
43.681226,-79.361576,2,2021
43.672993,-79.40214,2,2021
43.666285,-79.378347,2,2021
43.686835,-79.354454,2,2021
43.655466,-79.388599,2,2021
43.655466,-79.388599,2,2021
43.671266,-79.354529,2,2021
43.676962,-79.389532,2,2021
43.633401,-79.399528,2,2021
43.637464,-79.397227,2,2021
43.67016,-79.382811,2,2021
43.650005,-79.362061,2,2021
43.641153,-79.376841,2,2021
43.648087,-79.408323,2,2021
43.646192,-79.423473,2,2021
43.671889,-79.371458,2,2021
43.666151,-79.349458,2,2021
43.648903,-79.405995,2,2021
43.663052,-79.402109,2,2021
43.67113,-79.34686,2,2021
43.67201,-79.370697,2,2021
43.673775,-79.368204,2,2021
43.646683,-79.406576,2,2021
43.673236,-79.356099,2,2021
43.645963,-79.413432,2,2021
43.663025,-79.420915,2,2021
43.675589,-79.388987,2,2021
43.671924,-79.387503,2,2021
43.672466,-79.375893,2,2021
43.672466,-79.375893,2,2021
43.642739,-79.393929,2,2021
43.660111,-79.366287,2,2021
43.655909,-79.380087,2,2021
43.639977,-79.422281,2,2021
43.655285,-79.396969,2,2021
43.66434,-79.414859,2,2021
43.654565,-79.377626,2,2021
43.667562,-79.385692,2,2021
43.664368,-79.387183,2,2021
43.645205,-79.413977,2,2021
43.66779,-79.386757,2,2021
43.653882,-79.401777,2,2021
43.657067,-79.374567,2,2021
43.636035,-79.40209,2,2021
43.673374,-79.356228,2,2021
43.649131,-79.372193,2,2021
43.67201,-79.370697,2,2021
43.671355,-79.372321,2,2021
43.662078,-79.353086,2,2021
43.639022,-79.415917,2,2021
43.647857,-79.390293,2,2021
43.671915,-79.379068,2,2021
43.648903,-79.405995,2,2021
43.655854,-79.361325,2,2021
43.654411,-79.360349,2,2021
43.655896,-79.371444,2,2021
43.670804,-79.38421,2,2021
43.659607,-79.365241,2,2021
43.667729,-79.414173,2,2021
43.654456,-79.37815,2,2021
43.661737,-79.426858,2,2021
43.661737,-79.426858,2,2021
43.646305,-79.36606,2,2021
43.648411,-79.402364,2,2021
43.639964,-79.3802,2,2021
