intersection_id,desc,lat,lng
13468629,Pardee Ave,43.636361,-79.422261
14019332,Dundas St W / Ln W Palmerston S Dundas,43.651675,-79.409089
14024796,Jefferson Ave / Ln S Liberty E Jefferson,43.637537,-79.421374
14040757,Ln S Liberty E Jefferson,43.63764,-79.420846
14041281,Ln S Liberty E Jefferson,43.637442,-79.420771
14673889,Jefferson Ave / Ln S King E Jefferson,43.638706,-79.421775
14673898,Ln S King E Jefferson,43.638807,-79.42128
13468727,Nova Scotia Ave / Manitoba Dr,43.635338,-79.418657
30016274,Martin Goodman Trl,43.629929,-79.418414
13469225,Remembrance Dr / Martin Goodman Trl,43.630296,-79.419805
30052685,Martin Goodman Trl,43.630201,-79.419657
30028873,Remembrance Dr,43.630154,-79.419421
14014328,Mc Alpine St / Ln E Davenport N Mc Alpine,43.674,-79.391088
13462851,Davenport Rd / Mc Alpine St,43.673913,-79.391533
13462562,Hillsboro Ave,43.675604,-79.391771
13467066,Bascule Bdge / Keating Channel,43.647648,-79.354346
13460114,Westwood Ave / Donlands Ave,43.688309,-79.340523
13467066,Bascule Bdge / Keating Channel,43.647648,-79.354346
20033810,Westwood Ave / Ln W Donlands S Floyd / Ln W Donlands N Mortimer,43.68819,-79.341073
30018149,Martin Goodman Trl / Keating Channel,43.647622,-79.354406
60017066,Commissioners St / Don River,43.648184,-79.346014
13469371,Ontario Place Bridge,43.627794,-79.4179
13469371,Ontario Place Bridge,43.627794,-79.4179
13469342,Ontario Place Bridge,43.628228,-79.418032
14047598,Manning Ave / William Oliphant Lane,43.664548,-79.416162
13469324,Ontario Place Bridge,43.628492,-79.416505
13469324,Ontario Place Bridge,43.628492,-79.416505
14065320,Montclair Ave / Nick Vitantonio Lane,43.687671,-79.413018
14011754,Manning Ave / Erlichman Lane,43.664507,-79.416148
13466851,King St E / Yonge St / King St W,43.649158,-79.377894
20098088,Pape Ave / Ln N Danforth W Pape,43.679375,-79.345037
13468411,King St W / Gwynne Ave,43.638636,-79.428835
30043125,Marilyn Bell Park Trl / Aquatic Dr,43.63007,-79.429057
30043122,Marilyn Bell Park Trl / Martin Goodman Trl,43.630957,-79.42886
13468226,Gwynne Ave / Melbourne Ave,43.640282,-79.429464
60005530,David A Balfour Park Trl,43.687077,-79.38478
14023860,Boston Ave / Ln S Gerrard W Pape,43.66746,-79.341288
14255084,Fort York Blvd / Fleet St,43.636393,-79.406841
20054638,Sloping Sky Mews / Grand Magazine St,43.636759,-79.402395
20054674,Bruyeres Mews / Grand Magazine St,43.637441,-79.402682
20054559,Fort York Blvd / Grand Magazine St,43.637853,-79.402855
14309613,Gardiner XWY / Fort York Blvd,43.637892,-79.402757
14309613,Gardiner XWY / Fort York Blvd,43.637892,-79.402757
14255103,Gardiner XWY / Fort York Blvd,43.638062,-79.402404
14255103,Gardiner XWY / Fort York Blvd,43.638062,-79.402404
20054534,Grand Magazine St / Fleet St,43.636035,-79.40209
13468316,Robertson Cres / Rees St / Queens Quay W,43.638854,-79.386573
30072383,Robertson Cres / Martin Goodman Trl,43.638772,-79.386536
20054533,Iannuzzi St / Fleet St,43.636255,-79.400879
